Index,Date,Airport,User Class,Aircraft Type,Departures,Nautical MPG,Fuel Cost(Avg),Passenger Capacity,NM Distance to MCO (Orlando),NM Distance to DAB (Daytona Beach),Estimated Fuel Cost to MCO,Estimated Fuel Cost to DAB
156,9/24/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,2,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
157,9/24/2022,MIA,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,167.367911,207.2844794,4867.62,6028.52
158,9/25/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
159,9/25/2022,DFW,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,854.5964742,850.9932531,24854.51,24749.72
160,9/26/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
161,9/26/2022,DFW,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,854.5964742,850.9932531,24854.51,24749.72
162,9/26/2022,MIA,Air Carrier,B77L - Boeing 777-200LRF/LR,2,0.12,3.49,270,167.367911,207.2844794,4867.62,6028.52
163,9/27/2022,DFW,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,854.5964742,850.9932531,24854.51,24749.72
164,9/27/2022,MIA,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,167.367911,207.2844794,4867.62,6028.52
165,9/28/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
166,9/28/2022,MIA,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,167.367911,207.2844794,4867.62,6028.52
167,9/29/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,2,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
168,9/29/2022,DFW,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,854.5964742,850.9932531,24854.51,24749.72
169,9/30/2022,ATL,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,351.4968047,318.6082765,10222.7,9266.19
170,9/30/2022,DFW,Air Carrier,B77L - Boeing 777-200LRF/LR,1,0.12,3.49,270,854.5964742,850.9932531,24854.51,24749.72
